OrderID,CustomerID,ProductName,Quantity,InvoiceDate, UnitPrice ,TotalCost ,Country,Discount_Applied,Order Priority,Region,Segment,ExpeditedShipping,PaymentMethod,CustomerRewardsMember
536370,12583,INFLATABLE POLITICAL GLOBE ,48,12/1/2010 8:45,$0.85 ,$40.80 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Yes
536370,12583,SET2 RED RETROSPOT TEA TOWELS ,18,12/1/2010 8:45,$2.95 ,$53.10 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Yes
536370,12583,PANDA AND BUNNIES STICKER SHEET,12,12/1/2010 8:45,$0.85 ,$10.20 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Yes
536370,12583,RED TOADSTOOL LED NIGHT LIGHT,24,12/1/2010 8:45,$1.65 ,$39.60 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Yes
536370,12583,VINTAGE HEADS AND TAILS CARD GAME ,24,12/1/2010 8:45,$1.25 ,$30.00 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Yes
536370,12583,STARS GIFT TAPE ,24,12/1/2010 8:45,$0.65 ,$15.60 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Yes
536370,12583,VINTAGE SEASIDE JIGSAW PUZZLES,12,12/1/2010 8:45,$3.75 ,$45.00 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Yes
536370,12583,ROUND SNACK BOXES SET OF4 WOODLAND ,24,12/1/2010 8:45,$2.95 ,$70.80 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Yes
536370,12583,MINI PAINT SET VINTAGE ,36,12/1/2010 8:45,$0.65 ,$23.40 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Yes
536370,12583,MINI JIGSAW CIRCUS PARADE ,24,12/1/2010 8:45,$0.42 ,$10.08 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Yes
536370,12583,MINI JIGSAW SPACEBOY,24,12/1/2010 8:45,$0.42 ,$10.08 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Yes
536370,12583,SPACEBOY LUNCH BOX ,24,12/1/2010 8:45,$1.95 ,$46.80 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Yes
