SquareFootage,NumBathrooms,NumBedrooms,Price
1157.27,1.292223915,4,588317.6568
1063.29,1.185947441,2,104021.6679
550.67,2.732691674,3,185708.2598
550.0,1.650099339,2,128945.4664
1999.89,2.019267113,3,343116.7513
816.9,1.0,3,190134.3678
2394.03,3.16426403,4,741922.7803
1599.41,1.512261832,3,300770.4502
1202.42,1.88204523,2,289653.3039
1015.91,2.523218788,2,315696.835
550.0,2.020616461,2,256224.6335
1073.54,1.880760455,2,389635.1346
1297.73,2.686407725,3,538054.4792
579.75,1.690258747,3,231352.1189
1327.56,2.890242206,3,313705.9364
608.77,1.0,4,178537.8948
1016.68,2.970817977,3,316276.3761
1036.32,2.218187131,2,194376.8764
550.0,1.0,2,108413.2684
992.01,1.0,3,201297.8057
629.33,1.0,1,237167.5462
1166.6,1.311216468,2,168038.4429
694.91,2.117801384,3,155525.584
550.0,2.128441855,3,251669.3432
1647.17,2.425216305,2,533047.0772
979.69,1.0,2,152437.4363
611.72,2.470582903,4,240969.3991
617.3,2.574004056,3,368673.76
550.0,2.774532676,3,177964.3186
1623.34,1.49418135,2,139344.0338
1028.47,1.313040673,2,223038.8672
840.12,2.289361187,3,267429.0804
1609.6,1.558970451,3,476623.2329
574.1,2.38636649,3,415963.3615
733.36,1.907736751,2,150576.3355
1632.19,1.412574864,4,205876.162
1180.85,2.464266351,4,458241.994
770.0,2.857381496,3,277572.963
1255.51,3.029487737,2,349485.8596
1539.71,5.029666923,4,469350.6521
660.82,3.759941146,5,352825.9544
629.32,1.399565336,1,118141.2757
550.0,3.951180911,2,150183.814
784.56,2.075916165,4,268007.5101
991.7,3.291201775,4,680895.799
1318.79,1.0,3,226594.365
550.0,1.570492693,5,222090.7098
550.0,1.0,2,122909.3313
1319.52,1.0,4,345593.8591
941.24,3.155240375,3,198059.0707
1150.38,1.522493737,3,383703.4774
550.0,1.969044145,3,95866.28932
1081.06,1.520334873,2,216467.0959
1184.97,1.091458425,5,554802.8735
656.42,2.609774153,2,323014.2672
584.48,1.0,2,178942.3661
