SquareFootage,NumBathrooms,NumBedrooms,Price
645.52,1.522775532,1,103375.7614
1420.92,1.0,4,316030.1699
1717.65,3.469669949,3,333690.06
706.56,1.746485857,4,122305.3568
1038.32,2.146735189,2,351798.8598
1701.95,3.364477398,4,676922.4903
1276.24,3.271452228,3,277316.3525
1117.43,2.398695573,2,188922.9338
550.0,1.364638817,3,191607.2181
714.11,1.0,3,180729.6457
739.26,1.242991217,2,111788.6598
550.0,2.593593405,3,198941.9264
733.87,2.063996483,1,239464.1044
920.51,2.436317283,3,222228.9304
550.0,2.836823214,2,252241.3202
550.0,2.304389506,3,155707.1319
721.17,1.439066744,4,160019.0332
663.23,2.851278161,3,421588.8578
701.73,1.603980999,3,152376.5716
1099.16,1.0,3,210733.5129
920.23,1.322823373,2,105041.6445
1131.43,1.048292917,4,216972.8449
957.8,1.0,4,385041.5546
1834.27,1.0,4,424385.0666
1737.13,1.0,4,335869.6815
1092.09,3.094975276,3,430556.8472
1037.35,2.189285761,2,153297.265
709.99,2.171777158,4,312456.8833
1923.32,3.278186737,3,506890.4558
699.29,2.686783066,4,390605.9215
896.81,2.806979293,4,430310.8257
1550.36,3.563099021,4,769797.5161
680.49,1.472733342,3,256978.3221
747.49,1.418893522,3,205562.6791
988.48,1.478648763,4,318949.998
826.35,1.0,2,167546.7668
1309.65,2.232045617,3,274558.259
756.5,2.186455213,2,122660.0682
1460.44,2.555357801,4,654180.6485
956.19,1.0,4,121486.5873
564.94,2.93355964,4,279893.0825
1877.32,1.150800222,4,410816.4987
780.23,4.473925186,3,490495.3436
934.62,2.692480129,4,399436.5842
1004.05,2.900746272,2,206029.5987
550.0,1.534321988,4,222198.5451
1354.92,2.777247179,2,273015.0238
1151.07,1.70946631,4,248308.2316
1104.28,2.867132663,4,353108.2819
1331.78,1.337384367,3,353173.3423
1253.07,1.0,3,244280.9675
670.27,2.49452896,2,191113.1065
1029.17,1.0,5,277617.8096
1747.75,2.076796876,4,521223.2561
550.0,1.0,3,103947.6295
1272.98,1.0,1,171418.0448
1608.98,1.331963555,3,275311.908
627.24,1.0,5,333708.0442
550.0,1.369239433,1,306202.9736
1614.37,1.0,2,180247.7314
1368.21,2.476029549,3,397236.8931
748.56,1.0,4,160304.1753
1940.29,3.219858113,4,682875.7818
550.0,2.562340726,3,393215.7564
925.34,1.018620531,2,166673.7965
1654.51,3.135423706,3,630994.2869
1002.14,1.281793539,4,360053.6851
1040.5,1.602571713,4,478799.9918
1539.74,1.284889485,4,230289.9546
1666.63,1.866804699,1,307315.345
1112.56,1.41885763,3,528618.8707
844.84,1.611118351,3,98378.32224
1615.39,2.753904538,4,692732.5812
1883.99,2.725634492,2,422653.6677
1789.18,4.740971647,3,606809.1906
576.07,3.135533378,2,257544.0629
1289.46,1.087242539,4,334199.9353
1046.87,1.36184282,3,284255.1623
678.79,1.545631325,2,108250.9154
679.42,1.324548657,2,138047.5627
934.7,2.47374336,3,234564.8609
589.22,1.983390394,4,252944.9569
1578.36,1.875565541,2,170641.265
1348.73,4.652153243,3,455997.1118
2246.07,4.545388328,2,779931.8759
1067.3,3.391638755,2,211883.045
1543.39,3.147573502,3,370207.3866
550.0,2.585912865,3,235334.2782
550.0,1.917773456,3,207397.7233
636.25,3.620703764,5,633005.2522
1797.71,3.856885415,2,646806.3598
1335.59,1.605689015,2,220143.6872
1258.66,1.0,3,224349.0624
550.0,3.451538043,1,137212.5389
550.0,2.14279479,4,254020.7906
630.03,3.581893302,3,216351.837
1722.21,1.039936909,3,247083.9187
550.0,1.0,4,109758.7827
603.44,1.0,3,146397.9284
550.0,2.991104856,1,173722.5743
879.8,1.315377058,2,204115.2013
550.0,3.914265229,3,260976.6665
1230.69,1.099097782,4,395125.7018
2137.72,1.698082102,3,497692.5176
1057.2,1.82538522,5,535835.6644
913.16,2.128198377,2,226768.2603
957.72,1.765776311,3,310305.5598
1066.25,1.464714733,4,276203.9201
1441.86,1.129783364,3,331247.0143
1048.33,1.985677469,4,374402.1233
1316.69,1.938191011,4,259757.602
637.96,1.668226322,1,118735.8676
1368.39,1.522661397,4,280920.0402
1001.67,2.252086593,2,202463.8609
1812.59,2.44672782,2,543193.7648
939.55,3.137903025,5,410357.2197
1125.06,2.723276355,1,173809.6441
1269.84,1.0,3,217171.6912
1247.08,3.372249394,5,389877.9007
916.2,1.00207984,4,208419.3752
1375.84,2.623327731,2,370495.3218
550.0,1.0,3,103212.0744
732.92,1.666020061,2,127574.0886
975.15,1.878177558,1,166450.4353
1868.73,2.284886684,3,309631.4746
909.16,1.082539977,3,196204.535
979.58,2.159239943,3,249538.9243
1931.09,3.066609131,5,799996.2481
1769.01,2.15789403,3,544763.5776
936.96,3.497100183,5,312296.6703
873.02,1.671878436,2,164903.4879
937.32,1.0,3,182897.1964
891.62,2.994777105,4,375795.8439
550.0,1.796173542,2,150830.2384
550.0,1.286405765,2,98879.35132
696.5,3.160257716,2,304631.685
550.0,3.921931003,2,225726.3565
550.0,2.52254682,2,155684.9643
1457.95,3.608950566,1,299223.8467
696.81,1.427269031,4,415007.0335
1041.16,1.11935841,2,142240.2358
1655.1,1.0,4,374959.758
1509.02,1.0,5,229519.262
561.16,1.0,5,255087.7075
1331.4,1.392339529,4,379489.2465
1404.98,1.590590446,2,216757.3556
550.0,2.512785685,3,160474.9654
869.01,1.0,4,253375.0876
765.65,1.254242396,3,254400.6244
1099.81,1.0,1,120748.6048
1481.33,1.13651921,3,210881.4665
550.0,3.532642443,4,308427.1324
1356.47,2.446400298,4,655324.1759
1259.29,4.215965427,5,969059.6957
1173.15,1.884403795,4,461748.4582
550.0,1.0,4,233971.9901
1842.17,2.913336189,4,748256.0279
1301.32,1.44372734,3,227469.3042
1010.17,1.0,4,319230.5488
1167.09,1.357589204,2,136281.9799
550.0,3.488118422,4,362981.6337
